factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f768,45,17,3.3375
f813,45,20,5.6625
f826,45,18,5.0625
f835,45,20,4.375
f935,45,18,3.175
f994,45,24,4.5125
f1124,44,25,1.325
f137,44,28,1.55
f1388,44,18,2.7625
f1437,44,29,5.1875
f1487,44,29,4.6875
f1625,44,22,1.7625
f1628,44,24,1.675
f1681,44,22,3.7
f171,44,20,3.575
f1776,44,18,3.9375
f1830,44,18,1.5
f187,44,26,2.5
f1988,44,18,3.0
f2034,44,19,4.025
f2175,44,26,0.6875
f2223,44,25,5.7875
f2275,44,24,2.3375
f237,44,28,3.8
f2658,44,22,2.2
f2747,44,17,4.5
f2789,44,17,4.175
f2983,44,15,5.4375
f3039,44,24,2.6125
f3045,44,20,6.2375
f3168,44,15,3.55
f3340,44,21,3.0375
f344,44,20,3.5375
f3582,44,16,5.0125
f374,44,16,4.8625
f3881,44,27,2.925
f40100,44,22,2.6625
f4054,44,21,2.775
f4059,44,25,1.9375
f41100,44,17,3.6
f4783,44,14,3.5625
f483,44,19,5.025
f4956,44,12,1.3125
f5073,44,25,5.575
f5085,44,30,3.8375
f5575,44,28,1.5
f5898,44,20,3.05
f6082,44,16,1.7875
f6083,44,14,0.9875
f6167,44,21,4.6125
f6188,44,18,2.2125
f6895,44,14,2.0625
f7082,44,16,6.15
f7482,44,18,2.7875
f783,44,13,4.725
f7985,44,33,2.275
f8083,44,14,4.5
f8291,44,14,1.7875
f926,44,20,3.5
f991,44,20,3.0
f1234,43,17,3.175
f1275,43,25,3.7
f1375,43,27,3.4125
f1558,43,19,3.0875
f1694,43,25,3.3375
f1983,43,15,3.175
f2032,43,19,5.3
f2760,43,18,3.5
f2786,43,15,5.7625
f293,43,19,1.8
f2934,43,17,3.675
f3090,43,22,3.3125
f3091,43,18,2.1375
f3358,43,19,5.05
f3541,43,16,2.15
f3891,43,20,3.425
f4499,43,20,6.125
f4673,43,19,3.0625
f4687,43,18,3.1875
f5860,43,23,4.5875
f5899,43,19,3.4625
f619,43,16,2.3125
