metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
anytime_cost,DMS_split_at_1000,MS_split_0.5,50,7.76001,45.36,-37.6,-32.6862,6.20565e-35,7.54498e-10
anytime_cost,DMS_split_at_1000,MS_split_MGM_200,50,7.76001,20.98,-13.22,-22.0762,4.09968e-27,7.52112e-10
anytime_cost,DMS_split_at_1000,MS_split_opt_200,50,7.76001,20.14,-12.38,-21.8602,6.35474e-27,7.51942e-10
anytime_cost,DMS_split_at_1000,Attentive,50,7.76001,9.90001,-2.14,-2.09025,0.0418066,0.819621
anytime_cost,DMS_split_at_1000,MS,50,7.76001,41.865,-34.105,-34.4073,5.56547e-36,1.77636e-15
anytime_cost,DMS_split_at_500,DMS_split_at_300,50,7.84001,7.86001,-0.0199999,-0.167379,0.867761,0.867591
anytime_cost,DMS_split_at_500,DMS_split_at_100,50,7.84001,7.70001,0.14,1.63243,0.109,0.192693
anytime_cost,DMS_split_at_500,DMS_split_0.5,50,7.84001,7.90001,-0.0599997,-0.684578,0.496836,0.609819
anytime_cost,DMS_split_at_500,DMS_split_at_50,50,7.84001,7.76001,0.0800003,0.813737,0.419733,0.306103
anytime_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,7.84001,7.86001,-0.0200001,-0.227231,0.821189,0.44545
anytime_cost,DMS_split_at_500,MS_split_0.5,50,7.84001,45.36,-37.52,-32.027,1.61194e-34,7.5518e-10
anytime_cost,DMS_split_at_500,MS_split_MGM_200,50,7.84001,20.98,-13.14,-21.4427,1.49735e-26,7.53986e-10
anytime_cost,DMS_split_at_500,MS_split_opt_200,50,7.84001,20.14,-12.3,-21.2285,2.3366e-26,7.52793e-10
anytime_cost,DMS_split_at_500,Attentive,50,7.84001,9.90001,-2.06,-2.04882,0.0458554,0.92174
anytime_cost,DMS_split_at_500,MS,50,7.84001,41.865,-34.025,-34.0148,9.54954e-36,1.77636e-15
anytime_cost,DMS_split_at_300,DMS_split_at_100,50,7.86001,7.70001,0.16,1.53209,0.131931,0.192994
anytime_cost,DMS_split_at_300,DMS_split_0.5,50,7.86001,7.90001,-0.0399998,-0.404819,0.687373,0.95179
anytime_cost,DMS_split_at_300,DMS_split_at_50,50,7.86001,7.76001,0.1,0.868245,0.389493,0.387333
anytime_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,7.86001,7.86001,-2.4e-07,-2.42487e-06,0.999998,0.669986
anytime_cost,DMS_split_at_300,MS_split_0.5,50,7.86001,45.36,-37.5,-32.3581,9.9572e-35,7.54839e-10
anytime_cost,DMS_split_at_300,MS_split_MGM_200,50,7.86001,20.98,-13.12,-20.8375,5.31613e-26,1.10254e-09
anytime_cost,DMS_split_at_300,MS_split_opt_200,50,7.86001,20.14,-12.28,-20.5827,9.14136e-26,1.09943e-09
anytime_cost,DMS_split_at_300,Attentive,50,7.86001,9.90001,-2.04,-2.02277,0.0485718,0.897854
anytime_cost,DMS_split_at_300,MS,50,7.86001,41.865,-34.005,-34.5421,4.62938e-36,1.77636e-15
