period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges
1,141,0.8571428571428571,29108.253854017097,29108.253854017097,29108.253854017097,0.0,1.0,126.008658008658,0.0,,0.0,,1.0,1.0,0,0,29108.253854017097,,1000,,-1,random,0.2,9,DMS_split,231
2,1000,0.8947368421052632,34877.253391763545,34263.27511736249,31077.76425456302,0.72,0.068825910931174,116.17647058823528,0.4129554655870445,125.90196078431372,0.5182186234817814,156.71875,1.0,1.0,36,36,31541.246915933338,128.546875,1000,,-1,random,0.2,10,MS_split,247
1,66,0.8987854251012146,31224.247203749994,31224.247203749994,31224.247203749994,0.0,1.0,126.41295546558705,0.0,,0.0,,1.0,1.0,0,0,31224.247203749994,,1000,,-1,random,0.2,10,DMS_split,247
2,1000,0.8625498007968128,34252.23979917552,34234.24162586585,31686.240712520685,0.6,0.1912350597609561,117.10416666666669,0.4302788844621514,128.9814814814815,0.3784860557768924,154.74736842105264,1.0,1.0,30,30,31739.23976138476,125.3578947368421,1000,,-1,random,0.2,11,MS_split,251
1,105,0.8924302788844621,31580.237582860955,31580.237582860955,31580.237582860955,0.0,1.0,125.81673306772907,0.0,,0.0,,1.0,1.0,0,0,31580.237582860955,,1000,,-1,random,0.2,11,DMS_split,251
2,1000,0.892578125,34952.25870576597,35089.233600072555,32214.746152919262,0.6,0.19140625,114.9795918367347,0.42578125,131.88073394495413,0.3828125,152.4795918367347,1.0,1.0,30,30,32577.248548576354,130.5,1000,,-1,random,0.2,12,MS_split,256
1,88,0.89453125,32488.228951432797,32488.228951432797,32488.228951432797,0.0,1.0,126.90625,0.0,,0.0,,1.0,1.0,0,0,32488.228951432797,,1000,,-1,random,0.2,12,DMS_split,256
2,1000,0.8787878787878788,31941.260662972323,31456.218807244863,28899.739735108593,0.64,0.1774891774891775,122.09756097560977,0.3939393939393939,127.18681318681318,0.4285714285714285,155.16161616161617,1.0,1.0,32,32,29024.216364824788,125.97979797979798,1000,,-1,random,0.2,13,MS_split,231
1,17,0.8787878787878788,28922.227135268797,28922.227135268797,28922.227135268797,0.0,1.0,125.2034632034632,0.0,,0.0,,1.0,1.0,0,0,28922.227135268797,,1000,,-1,random,0.2,13,DMS_split,231
2,1000,0.8988326848249028,36801.24996410196,37139.25038690035,32424.25017550116,0.8,0.0389105058365758,115.7,0.2879377431906614,123.98648648648648,0.6731517509727627,153.0,1.0,1.0,40,40,32580.26299792869,127.15028901734104,1000,,-1,random,0.2,14,MS_split,257
1,68,0.896887159533074,32386.25736331513,32386.25736331513,32386.25736331513,0.0,1.0,126.01556420233464,0.0,,0.0,,1.0,1.0,0,0,32386.25736331513,,1000,,-1,random,0.2,14,DMS_split,257
