bench,seed,p,freeze,t95,final_commit,final,best,period
random_sparse,3,0.6,77,2000,0.7600806451612904,14614.231008256591,14614.231008256591,1
random_sparse,3,0.7,48,2000,0.7782258064516129,14586.21983833799,14586.21983833799,1
random_sparse,3,0.8,39,2000,0.7560483870967742,14586.21983833799,14586.21983833799,1
random_sparse,3,0.9,103,2000,0.7298387096774194,14534.24474597111,14534.24474597111,1
random_sparse,3,0.95,84,2000,0.6875,14415.260476875103,14415.260476875103,1
random_sparse,3,0.99,1902,2000,0.6330645161290323,14415.260476875103,14415.260476875103,0
random_sparse,3,1.0,1980,2000,0.2782258064516129,14415.260476875103,14415.260476875103,0
random_sparse,4,0.5,47,2000,0.7362204724409449,15163.24528144148,15163.24528144148,1
random_sparse,4,0.55,44,2000,0.7322834645669292,15163.24528144148,15163.24528144148,1
random_sparse,4,0.6,47,2000,0.6712598425196851,15164.248246338851,15164.248246338851,1
random_sparse,4,0.7,101,2000,0.7519685039370079,14957.276201372646,14957.276201372646,1
random_sparse,4,0.8,152,2000,0.7362204724409449,14966.275286893515,14966.275286893515,1
random_sparse,4,0.9,103,2000,0.702755905511811,14933.25891622528,14933.25891622528,1
random_sparse,4,0.95,112,2000,0.687007874015748,14931.245005786832,14931.245005786832,1
random_sparse,4,0.99,487,2000,0.655511811023622,14919.259566988487,14900.250965719884,1
random_sparse,4,1.0,237,2000,0.25196850393700787,14866.237110586739,14866.237110586739,1
random_sparse,5,0.5,19,2000,0.7757352941176471,15941.266883176957,15941.266883176957,1
random_sparse,5,0.55,19,2000,0.7904411764705882,15941.266883176957,15941.266883176957,1
random_sparse,5,0.6,18,2000,0.7849264705882353,15941.266883176957,15941.266883176957,1
random_sparse,5,0.7,49,2000,0.7886029411764706,15892.264406755965,15892.264406755965,1
random_sparse,5,0.8,36,2000,0.7628676470588235,15892.264406755965,15892.264406755965,1
random_sparse,5,0.9,79,2000,0.7334558823529411,15810.267499381993,15810.267499381993,1
random_sparse,5,0.95,57,2000,0.7738970588235294,15737.26836013885,15737.26836013885,1
random_sparse,5,0.99,51,2000,0.7426470588235294,15737.26836013885,15737.26836013885,1
random_sparse,5,1.0,51,2000,0.47058823529411764,15737.26836013885,15737.26836013885,1
random_sparse,6,0.5,64,2000,0.7910447761194029,15677.249526889556,15677.249526889556,1
random_sparse,6,0.55,55,2000,0.7947761194029851,15677.249526889556,15677.249526889556,1
random_sparse,6,0.6,48,2000,0.7910447761194029,15677.249526889556,15677.249526889556,1
random_sparse,6,0.7,44,2000,0.7910447761194029,15677.249526889556,15677.249526889556,1
random_sparse,6,0.8,45,2000,0.7742537313432836,15677.249526889556,15677.249526889556,1
random_sparse,6,0.9,47,2000,0.7145522388059702,15677.249526889556,15677.249526889556,1
random_sparse,6,0.95,120,2000,0.6884328358208955,15629.249765300387,15629.249765300387,1
random_sparse,6,0.99,87,2000,0.6138059701492538,15635.249022788279,15635.249022788279,1
random_sparse,6,1.0,2000,2000,0.05223880597014925,17827.258786623563,15635.249022788279,0
random_sparse,7,0.5,444,2000,0.8134328358208955,15954.257848154835,15954.257848154835,1
